Address,Beds,Baths,Price,SquareFoot,href,img
"18-40 211th Street UNIT 5H, Bayside, NY 11360",2bd,1ba,289000,Undisclosed,https://www.trulia.com/home/18-40-211th-st-5h-bayside-ny-11360-2080384520,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/8cf699588849f1911c806a5d07509377-full.jpg
"33-71 Prince Street UNIT 11H, Flushing, NY 11354",2bd,2ba,948700,Undisclosed,https://www.trulia.com/home/33-71-prince-st-11h-flushing-ny-11354-343782477,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/fd964f6d6d9b9d6339459d2b02f57173-full.jpg
"144-21 158th St #1, Jamaica, NY 11434",3bd,2ba,679000,Undisclosed,https://www.trulia.com/home/144-21-158th-st-1-jamaica-ny-11434-343773493,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/96c4b5cdf85597d4f563dc07d862b2f3-full.jpg
"50 Brighton 1 Rd #4BB, Brooklyn, NY 11235",Studio,1ba,389000,750,https://www.trulia.com/home/50-brighton-1-rd-4bb-brooklyn-ny-11235-343772200,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/fc0d8fc5041d4e11c6bc5392095e16e5-full.jpg
"33-71 Prince Street UNIT 11G, Flushing, NY 11354",2bd,2ba,948700,Undisclosed,https://www.trulia.com/home/33-71-prince-st-11g-flushing-ny-11354-343780052,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/fd964f6d6d9b9d6339459d2b02f57173-full.jpg
"348 Edgegrove Ave, Staten Island, NY 10312",6bd,6ba,1550000,3020,https://www.trulia.com/home/348-edgegrove-ave-staten-island-ny-10312-343771225,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/1f2576291d68423398dc925ee1c0edc8-full.jpg
"83-84 116 Street UNIT 3-C, Richmond Hill, NY 11418",1bd,1ba,275000,Undisclosed,https://www.trulia.com/home/83-84-116th-st-3c-richmond-hill-ny-11418-2064234617,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/080b9f6e6a0f330c305efb284be5e83f-full.jpg
"3-13 Weatherly Place UNIT 84, Flushing, NY 11356",2bd,2ba,758000,Undisclosed,https://www.trulia.com/home/313-weatherly-pl-84-flushing-ny-11356-119076124,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/3f0f7d57fd290f80db141ac5fb965108-full.jpg
"821 57th St #3B, Brooklyn, NY 11220",2bd,1ba,668000,614,https://www.trulia.com/home/821-57th-st-3b-brooklyn-ny-11220-79722051,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/16a75441d4c59a8027de5375db22d0d3-full.jpg
"101 Church Ave, Staten Island, NY 10314",2bd,2ba,509000,1386,https://www.trulia.com/home/101-church-ave-staten-island-ny-10314-32317304,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/53f26838386240615105a01c746defe7-full.jpg
"1015 Anderson Avenue UNIT 4C, Bronx, NY 10452",1bd,1ba,109000,875,https://www.trulia.com/home/1015-anderson-ave-4c-bronx-ny-10452-2087030369,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/0e8d582525528302a59431f7825afead-full.jpg
"14005 Newport Ave, Belle Harbor, NY 11694",6bd,5ba,1825000,2927,https://www.trulia.com/home/14005-newport-ave-belle-harbor-ny-11694-32228018,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/104d1d743aa6783c42a00a471a7ba199-full.jpg
"120-07 20th Avenue, College Pt, NY 11356",4bd,5ba,1579000,Undisclosed,https://www.trulia.com/home/120-07-20th-ave-college-pt-ny-11356-2064733433,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/b416357338cd226cd7a5d857c3ad5c0e-full.jpg
"88-11 Northern Blvd UNIT 508, East Elmhurst, NY 11369",2bd,1ba,349000,950,https://www.trulia.com/home/88-11-northern-blvd-508-east-elmhurst-ny-11369-2061841286,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/39056a53afea60c2b206f405ba5e8cbe-full.jpg
"337 97th St, Brooklyn, NY 11209",3bd,2ba,1098000,1078,https://www.trulia.com/home/337-97th-st-brooklyn-ny-11209-30701911,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/287ca6ad46cf2982b4d27a6ebb62efa9-full.jpg
"33-71 Prince Street UNIT 8F, Flushing, NY 11354",2bd,2ba,927220,Undisclosed,https://www.trulia.com/home/33-71-prince-st-8f-flushing-ny-11354-343779680,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/fd964f6d6d9b9d6339459d2b02f57173-full.jpg
"84-01 Main Street UNIT 428, Jamaica, NY 11435",Studio,1ba,180000,Undisclosed,https://www.trulia.com/home/84-01-main-st-428-jamaica-ny-11435-2072174572,https://maps.googleapis.com/maps/api/streetview?size=640x480&location=84-01%20Main%20St%2C%20Jamaica%2C%20NY%2C%2011435%20Jamaica%20NY%2011435&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=M6jbhBZanO8rQmlpu8cQ1SF7xKE%3D
"142 80th St, Brooklyn, NY 11209",5bd,6ba,2495000,2549,https://www.trulia.com/home/142-80th-st-brooklyn-ny-11209-30697724,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/10bbbfa40316a8a375b7620333c7e7e6-full.jpg
"29 Mundy Ave, Staten Island, NY 10301",3bd,2ba,719999,1350,https://www.trulia.com/home/29-mundy-ave-staten-island-ny-10301-343723463,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/cb2126b77ebd3c600c28a8614d67e851-full.jpg
"702 Beach 19th Street, Far Rockaway, NY 11691",9bd,5ba,975000,Undisclosed,https://www.trulia.com/home/702-beach-19th-st-far-rockaway-ny-11691-32220124,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/8abef68b1bb8c8eb7152108ae51698c5-full.jpg
"1239 E 55th Street, Brooklyn, NY 11234",4bd,2ba,799000,3392,https://www.trulia.com/home/1239-e-55th-st-brooklyn-ny-11234-30761211,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/9d824c4c303d282f45a5c6bd79f34f6b-full.jpg
"29 Andros Ave, Staten Island, NY 10303",3bd,2ba,499900,1168,https://www.trulia.com/home/29-andros-ave-staten-island-ny-10303-32300415,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/baa6f0436d93d3a0771c00001aac96c5-full.jpg
"136-21 Latimer Pl UNIT 5H, Flushing, NY 11354",2bd,2ba,780000,Undisclosed,https://www.trulia.com/home/136-21-latimer-pl-5h-flushing-ny-11354-2060925253,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/94dd7eb947d018927627e60212922356-full.jpg
"220-72 77th Avenue, Flushing, NY 11364",4bd,3ba,1560000,Undisclosed,https://www.trulia.com/home/22072-77th-ave-flushing-ny-11364-32088621,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/a39b9d65da25a5daf8b67cfbd1360d5a-full.jpg
"85-17 101st Street, Richmond Hill, NY 11418",5bd,2ba,1020000,Undisclosed,https://www.trulia.com/home/85-17-101st-st-richmond-hill-ny-11418-343717258,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/17e207a2355775196077ed2badde9d2e-full.jpg
"70-32 Kissena Boulevard, Flushing, NY 11367",5bd,4ba,1490000,Undisclosed,https://www.trulia.com/home/7032-kissena-blvd-flushing-ny-11367-32068718,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/2bd637df1089b18ed72044dc0f02f41f-full.jpg
"6218 80th St, Flushing, NY 11379",3bd,2ba,875000,1800,https://www.trulia.com/home/6218-80th-st-flushing-ny-11379-31994876,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/b43d44cf05291fade1210811227d9622-full.jpg
"762 Vermont St, Brooklyn, NY 11207",3bd,2ba,579000,1092,https://www.trulia.com/home/762-vermont-st-brooklyn-ny-11207-30646769,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/98caa962390ec0e611424e62b585d6a9-full.jpg
"6017 23rd Ave, Brooklyn, NY 11204",4bd,3ba,1900000,2160,https://www.trulia.com/home/6017-23rd-ave-brooklyn-ny-11204-30717505,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/6bd983f519b320735b658ca2eaf1ab6c-full.jpg
"78-17 Springfield Boulevard UNIT B, Oakland Gardens, NY 11364",1bd,1ba,299000,Undisclosed,https://www.trulia.com/home/224-06-springfield-blvd-b-oakland-gardens-ny-11364-245379810,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/e2a5f6df750c582de051694537c85aa4-full.jpg
"5 Queen St, Staten Island, NY 10314",5bd,2ba,989900,1904,https://www.trulia.com/home/5-queen-st-staten-island-ny-10314-32290683,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/7791eeb8f239fa4c11a3ad7848ca229d-full.jpg
"132-12 83rd Street, Jamaica, NY 11417",3bd,2ba,679000,1300,https://www.trulia.com/home/13212-83rd-st-jamaica-ny-11417-32166643,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/cc628721382774fab00b4f2c32012c89-full.jpg
"24 McDivitt Ave #A, Staten Island, NY 10314",2bd,2ba,555000,1158,https://www.trulia.com/home/24-mcdivitt-ave-a-staten-island-ny-10314-143725977,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/1ac8b9f409e55cbc1d82bda20131e97b-full.jpg
"131 Dartmouth Loop, Staten Island, NY 10306",3bd,4ba,879000,1300,https://www.trulia.com/home/131-dartmouth-loop-staten-island-ny-10306-79736336,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/7522c42f5c0b4effb5e517aec5eba9ec-full.jpg
"557 W 150th Street UNIT 24, New York, NY 10031",3bd,1ba,249000,950,https://www.trulia.com/home/557-w-150th-st-24-new-york-ny-10031-2062974755,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/c6cfe2ac217af452ac1ebe16add8ba12-full.jpg
"144-21 158th Street, Jamaica, NY 11434",3bd,2ba,679000,Undisclosed,https://www.trulia.com/home/14421-158th-st-jamaica-ny-11434-32218555,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ec597300c79e468de16d85230675a3bd-full.jpg
"88-17 75th Street, Jamaica, NY 11421",4bd,3ba,819000,1648,https://www.trulia.com/home/8817-75th-st-jamaica-ny-11421-32107351,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/b012b3c5a789d4144062d6707bfe1693-full.jpg
"2916 Philip Avenue, Bronx, NY 10465",4bd,3ba,899000,1296,https://www.trulia.com/home/2916-philip-ave-bronx-ny-10465-29844940,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/9d01fbf7e1299f9f4f1470cfaf879fda-full.jpg
"347 78th St, Brooklyn, NY 11209",Undisclosed,Undisclosed,1000000,Undisclosed,https://www.trulia.com/home/347-78th-St-Brooklyn-NY-11209-343688287,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/5a823e7f6cf979553b9046435c61fdc0-full.jpg
"8823 241st St, Jamaica, NY 11426",3bd,3ba,925000,1500,https://www.trulia.com/home/8823-241st-st-jamaica-ny-11426-32091868,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/2ab70c34c76fa1a11769cf0bf241f575-full.jpg
"239-64B Oak Park Drive UNIT 14B, Little Neck, NY 11362",2bd,2ba,728000,Undisclosed,https://www.trulia.com/home/239-64b-oak-park-dr-14b-little-neck-ny-11362-2069528315,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/01fef0c0b04f641b511ac63ab88b972f-full.jpg
"1454 159th St, Flushing, NY 11357",5bd,5ba,2380000,4000,https://www.trulia.com/home/1454-159th-st-flushing-ny-11357-32028739,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/90031508e6032161ed91a8d30464d05d-full.jpg
"873 42nd St #4B, Brooklyn, NY 11232",3bd,1ba,638000,805,https://www.trulia.com/home/873-42nd-st-4b-brooklyn-ny-11232-94715937,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/c0bbe9ab150350229331f8a1a22df811-full.jpg
"PH1B Plan in 101 West 14th, New York, NY 10011",3bd,3ba,6500000,1851,https://www.trulia.com/builder-community-plan/101-West-14th-Ph1b-2059152048,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/c90d1ebdb17b99ab551eac3256863e88-full.jpg
"102-01 62nd Road, Flushing, NY 11375",5bd,3ba,1999999,Undisclosed,https://www.trulia.com/home/10201-62nd-rd-flushing-ny-11375-31977881,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/8d06215615dc4b5961d325d8ebdc28ea-full.jpg
"97-37 63 Road UNIT 4M, Rego Park, NY 11374",1bd,1ba,348000,Undisclosed,https://www.trulia.com/home/97-37-63rd-rd-4m-rego-park-ny-11374-219849098,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/db7727f8ab91b1258b4dc13784ebd4d7-full.jpg
"87-30 204 Street UNIT A61, Hollis, NY 11423",1bd,1ba,180000,Undisclosed,https://www.trulia.com/home/87-30-204th-st-a61-hollis-ny-11423-79737140,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ab6be96830aa152f0ef77dc254bce8eb-full.jpg
"53 Garland Ct, Brooklyn, NY 11229",3bd,2ba,789999,1135,https://www.trulia.com/home/53-garland-ct-brooklyn-ny-11229-30793880,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/f9d1b026440b44f6f6944857a3a0ef83-full.jpg
"86-10 55th Road, Flushing, NY 11373",5bd,3ba,1100000,Undisclosed,https://www.trulia.com/home/8610-55th-rd-flushing-ny-11373-31991736,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/dc08816c131e29272462517b12b4579e-full.jpg
"773 Eastern Pkwy #2B, Brooklyn, NY 11213",1bd,1ba,419000,700,https://www.trulia.com/home/773-eastern-pkwy-2b-brooklyn-ny-11213-245033124,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/7f950ad514beea5fe7cb219b06115350-full.jpg
"2322 E 26th Street, Brooklyn, NY 11229",3bd,2ba,888888,Undisclosed,https://www.trulia.com/home/2322-e-26th-st-brooklyn-ny-11229-30747204,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ec17263cb07ae0ed67d9e78723af65a6-full.jpg
"132-14 82nd Street, Jamaica, NY 11417",3bd,2ba,670000,Undisclosed,https://www.trulia.com/home/13214-82nd-st-jamaica-ny-11417-32166592,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/36ab981be847d4852ddff89bdc97c919-full.jpg
"1502 W  1st St #2E, Brooklyn, NY 11204",2bd,2ba,738000,934,https://www.trulia.com/home/1502-w-1st-st-2e-brooklyn-ny-11204-320255372,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/dbeab447e60681ea62287f40f7393d08-full.jpg
"108-17 Ditmars Boulevard, Flushing, NY 11369",3bd,2ba,1088000,Undisclosed,https://www.trulia.com/home/10817-ditmars-blvd-flushing-ny-11369-89025292,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/12af5c388cb48181c3f1047d879ed485-full.jpg
"198-06 100th Avenue, Jamaica, NY 11423",6bd,3ba,949000,Undisclosed,https://www.trulia.com/home/19806-100th-ave-jamaica-ny-11423-32154199,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/fd501bb0edc75947bddca0d06b002c46-full.jpg
"43-18 Robinson Street UNIT 2D, Flushing, NY 11355",2bd,2ba,648000,Undisclosed,https://www.trulia.com/home/43-18-robinson-st-2d-flushing-ny-11355-2080683408,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/9cfeec70441209754eb3b689e9eed6f4-full.jpg
"1949 W  4th St, Brooklyn, NY 11223",3bd,2ba,988000,1350,https://www.trulia.com/home/1949-w-4th-st-brooklyn-ny-11223-30734722,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/767180ee439ff86fe9eb91ef18c5516e-full.jpg
"33-71 Prince Street UNIT 8B, Flushing, NY 11354",2bd,2ba,981710,Undisclosed,https://www.trulia.com/home/33-71-prince-st-8b-flushing-ny-11354-343779679,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/fd964f6d6d9b9d6339459d2b02f57173-full.jpg
"136-20 Booth Memorial Avenue UNIT 2J, Flushing, NY 11355",2bd,2ba,738000,Undisclosed,https://www.trulia.com/home/13620-booth-memorial-ave-2j-flushing-ny-11355-2080676594,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/2abe6a3699010414953e3b4847437101-full.jpg
"2310 Stuart Street UNIT 2K, Brooklyn, NY 11229",3bd,2ba,685000,970,https://www.trulia.com/home/2310-stuart-st-2k-brooklyn-ny-11229-64722847,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/7132d1b67f0a4fc26043275a09ef035f-full.jpg
"122-58 Springfield Boulevard, Jamaica, NY 11413",3bd,3ba,599990,Undisclosed,https://www.trulia.com/home/12258-springfield-blvd-jamaica-ny-11413-32196187,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/9c62ec20f5213f12b3472c6c6f341a2b-full.jpg
"147-39 Edgewood Street, Jamaica, NY 11422",4bd,3ba,899000,Undisclosed,https://www.trulia.com/home/14739-edgewood-st-jamaica-ny-11422-32213955,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/7bdce8c8bceb2450a954a91848554885-full.jpg
"22-57 92nd Street, East Elmhurst, NY 11369",4bd,2ba,980000,Undisclosed,https://www.trulia.com/home/22-57-92nd-st-east-elmhurst-ny-11369-2065731690,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/c8276fae570942ca87b190a0bc534ba3-full.jpg
"1085 Arnow Avenue, Bronx, NY 10469",3bd,2ba,685000,1300,https://www.trulia.com/home/1085-arnow-ave-bronx-ny-10469-29824135,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ee6b778793c7af3aa8b6103522319264-full.jpg
"206-04 Emily Road UNIT 1, Bayside, NY 11360",1bd,1ba,646000,700,https://www.trulia.com/home/20604-emily-rd-1-bayside-ny-11360-2140001270,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/92dc1a4eccc682de52628d7aad8a91ad-full.jpg
"1071 40th St, Brooklyn, NY 11219",Studio,3ba,1700000,1536,https://www.trulia.com/home/1071-40th-st-brooklyn-ny-11219-30683205,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/63d56e286f5234f81bea305074fdc140-full.jpg
"1100 Clove Rd #10G, Staten Island, NY 10301",1bd,1ba,199000,700,https://www.trulia.com/home/1100-clove-rd-10g-staten-island-ny-10301-244595711,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/dd37fadc02660c0feab1221de1aefce2-full.jpg
"173A Beach 109 St, Rockaway Park, NY 11694",1bd,1ba,375000,Undisclosed,https://www.trulia.com/home/173a-beach-109-st-rockaway-park-ny-11694-343593610,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/815a0dd924f8104db05e611930deb13f-full.jpg
"2620 E  13th St #4H, Brooklyn, NY 11235",2bd,1ba,349000,981,https://www.trulia.com/home/2620-e-13th-st-4h-brooklyn-ny-11235-245067769,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/6e80e86c399a0958ed82d0c5a800ccab-full.jpg
"132-29 Blossom Avenue UNIT 7E, Flushing, NY 11355",2bd,2ba,668000,Undisclosed,https://www.trulia.com/home/132-29-blossom-ave-7e-flushing-ny-11355-343585877,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/eb5a3bcf0c8dec13b6db59bcbd694706-full.jpg
"171 & 173 Baden Pl, Staten Island, NY 10306",3bd,2ba,614800,1180,https://www.trulia.com/home/171-173-baden-pl-staten-island-ny-10306-343585367,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/335a91b6503c47f27d03c8ae923b76bf-full.jpg
"708 Ashford St, Brooklyn, NY 11207",2bd,1ba,475000,625,https://www.trulia.com/home/708-ashford-st-brooklyn-ny-11207-30647162,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/2d59c40cce2bd740dd4a54915e1f8fa1-full.jpg
"50 Brighton 1 Rd #16H, Brooklyn, NY 11235",1bd,1ba,479000,800,https://www.trulia.com/home/50-brighton-1-rd-16h-brooklyn-ny-11235-343581582,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/fc0d8fc5041d4e11c6bc5392095e16e5-full.jpg
"119-23 143rd Street, Jamaica, NY 11436",6bd,5ba,1599999,Undisclosed,https://www.trulia.com/home/119-23-143rd-st-jamaica-ny-11436-2061985344,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/bac6e65a321b3448b7c957dc14518e6a-full.jpg
"133-33 233rd St, Rosedale, NY 11422",Studio,2ba,869000,1912,https://www.trulia.com/home/133-33-233rd-st-rosedale-ny-11422-2058903801,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/a7d9841c161332a7981f9278f41cfaa4-full.jpg
"67114 Dartmouth St, Flushing, NY 11375",3bd,1ba,988000,1224,https://www.trulia.com/home/67114-dartmouth-st-flushing-ny-11375-32002635,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/8d5fd07d2cd2452e25fba8a3aa034719-full.jpg
"45-45 Oceania Street, Bayside, NY 11361",3bd,2ba,888000,Undisclosed,https://www.trulia.com/home/45-45-oceania-bayside-ny-11361-2090116681,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/657917169269d8277859e2c42089e73f-full.jpg
"932 E  79th St, Brooklyn, NY 11236",5bd,3ba,1150000,2000,https://www.trulia.com/home/932-e-79th-st-brooklyn-ny-11236-30769051,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/1aa8a6c6548599ca95a4dfb3ddac0c7d-full.jpg
"156 Oxford St, Brooklyn, NY 11235",4bd,4ba,1649900,2600,https://www.trulia.com/home/156-oxford-st-brooklyn-ny-11235-30791360,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/862b3c2a258d95d0d8f45a7a29a438a8-full.jpg
"1259 E  21st St, Brooklyn, NY 11210",5bd,3ba,1999000,3200,https://www.trulia.com/home/1259-e-21st-st-brooklyn-ny-11210-30752970,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/a851bb982f2878ddeabcf88dd304e5f8-full.jpg
"2426 Maclay Avenue, Bronx, NY 10461",6bd,3ba,950000,2680,https://www.trulia.com/home/2426-maclay-ave-bronx-ny-10461-29812056,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/cb2b19c53fdbcd9ddc5c88042e38aa3d-full.jpg
"1916 E 29th Street, Brooklyn, NY 11229",3bd,3ba,1325000,Undisclosed,https://www.trulia.com/home/1916-e-29th-st-brooklyn-ny-11229-30742512,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/1d5905e95ece92b4dc444a390d9163b4-full.jpg
"48 Fieldway Ave, Staten Island, NY 10308",4bd,3ba,979000,2034,https://www.trulia.com/home/48-fieldway-ave-staten-island-ny-10308-32345897,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/857c201a022e12bf9cf1afee561920e5-full.jpg
"78-06 46th Ave UNIT 7E, Elmhurst, NY 11373",Studio,1ba,238000,530,https://www.trulia.com/home/78-6-46th-ave-7e-elmhurst-ny-11373-125931396,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/8013420bf70202c0fc9974893edd9bbe-full.jpg
"85-21 215th St, Queens Village, NY 11427",4bd,4ba,1258000,1800,https://www.trulia.com/home/85-21-215th-st-queens-village-ny-11427-2062956968,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/eeb75a6c708ef29018b6125802e9a464-full.jpg
"74 Freedom Avenue, Staten Island, NY 10314",4bd,3ba,899000,Undisclosed,https://www.trulia.com/home/74-freedom-ave-staten-island-ny-10314-32309798,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/5afa1d403f3b820e57f7a3c621db6d47-full.jpg
"4738 46th St, Flushing, NY 11377",3bd,3ba,999000,1394,https://www.trulia.com/home/4738-46th-st-flushing-ny-11377-31935036,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ce742574f639537cfce06de523d4d282-full.jpg
"109-55 153rd Street, Jamaica, NY 11433",6bd,3ba,899999,Undisclosed,https://www.trulia.com/home/10955-153rd-st-jamaica-ny-11433-68019326,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/6eac9a28bf56aaac81e7168164e92687-full.jpg
